playerShort,height,weight,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,meanIAT,nIAT,seIAT,meanExp,nExp,seExp,position,club,leagueCountry,rater,firstName
inigo-martinez,181.0,77.0,125,60,28,37,9,33,1,4,0.35541501775918016,51921.76190476191,0.0035171056864614393,0.6035918468011369,53443.666666666664,0.005335692912488016,1,68,3,0,353
inigo-perez,178.0,74.0,84,37,16,31,2,17,0,0,0.36831737219272026,2865.2448979591836,0.0003609060389249392,0.5995465202679854,3011.2244897959185,0.0017157544887911901,3,9,3,0,353
ioannis-gelios,190.0,76.0,76,27,22,27,0,1,0,1,0.33857364840533966,7255.522727272727,0.00019448009578912074,0.3507716936933741,7466.704545454545,0.0012052376392830079,5,28,2,0,354
iraizoz,191.0,81.0,322,135,72,115,0,21,0,0,0.36498644092339166,4639.0,0.0003881310666437485,0.5848260602537716,4863.870588235294,0.0018552107177731304,5,9,3,0,355
iraola,182.0,75.0,455,180,106,169,34,55,1,0,0.3633087897377498,4771.3536585365855,0.000362628752575571,0.5745617220338316,5005.780487804878,0.0017071332933356416,9,9,3,0,356
iriney,179.0,70.0,260,105,62,93,5,76,1,5,0.36012361415363886,10423.2375,0.0003121996077586139,0.5381503777350384,10935.825,0.0015674983168808576,4,37,3,0,357
isaac-cuenca,181.0,74.0,43,30,6,7,6,4,0,0,0.3623515760022392,4675.914285714286,0.0003824823883665144,0.5519697905230371,4898.971428571429,0.001863315230582913,11,29,3,0,358
isco,176.0,74.0,163,99,30,34,41,16,2,0,0.3589493325620728,39545.360655737706,0.0003893490917610163,0.581127998910134,40769.42622950819,0.0018775168160894175,0,52,3,0,359
isma-lopez,180.0,76.0,36,12,10,14,3,3,0,0,0.3679846275886491,3361.7741935483873,0.0002912094660550925,0.5805911734080068,3532.967741935484,0.0013519022238809085,12,9,3,0,360
issa-ndoye,202.0,94.0,25,4,10,11,0,2,0,0,0.3711284094659863,1671.5,0.0010466983013412482,0.7627967061949341,1747.85,0.0054932396497643044,5,77,2,1,361
iturraspe_2,187.0,75.0,176,71,45,60,1,55,1,0,0.36487464466621866,4685.423076923077,0.00036587752549534913,0.5830774818370005,4910.576923076923,0.0017336943346574997,4,9,3,0,362
ivan-klasnic,186.0,82.0,475,225,102,148,152,38,2,1,0.34280382891475736,10964.856164383562,0.0002454279289007623,0.4115357037863958,11425.547945205479,0.001156511699380411,2,1,2,0,363
ivan-obradovic,181.0,74.0,89,38,17,34,2,17,0,0,0.3675942623952164,3163.280701754386,0.0012454011496106597,0.5685306274641818,3315.4561403508774,0.0074069982584991255,6,70,3,0,363
